question,answer
How do I enable autopay?,"Go to Billing Settings, register a payment method (card, UPI, or net banking), authorize recurring charges, and confirm the mandate. You'll receive confirmation with the first charge date."
Can I disable autopay anytime?,"Yes. Disable from the Billing section by selecting the active mandate and confirming cancellation via OTP. Any unpaid invoices must be settled manually."
What happens if my bill is overdue?,"Services enter a 7-10 day grace period with reminders. Post-grace, restricted outbound usage kicks in. Continued non-payment after 15 days leads to full suspension."
How do I download past invoices?,"Access Billing History in the app, covering up to 24 months. Each PDF includes tax breakdowns, plan charges, itemized usage, and promotional credits."
Are there late payment fees?,"Yes. A fixed fee applies after the grace period, escalating to daily interest on outstanding amounts. Fees are waived for first-time delays under 5 days."
How do I dispute a bill charge?,"Submit a ticket via Support with evidence like screenshots or usage logs. Billing teams review records within 7-10 business days before issuing corrections or refunds."
Can I set usage alerts?,"Yes. Set thresholds in Usage Controls for data, voice, and roaming. Notifications trigger via app, push alerts, email, and SMS."
Can I restrict data usage for family members?,"As primary account holder, access Family Dashboard to assign data caps, block roaming data, or disable high-speed data for specific lines."
How do I enable parental controls?,"Enable through Family Management: select the child's line, enforce content filters, set app restrictions, and apply time-based rules."
Is number masking supported?,"Yes for enterprise accounts. Caller IDs are anonymized during support calls using dynamic virtual numbers routed through the IMS core."
Are static IP addresses available?,"Static IPs are available for enterprise mobile broadband upon request. Allocation involves a setup fee and annual renewal."
What security measures protect my account?,"Multi-factor authentication, device binding, end-to-end encrypted sessions using TLS 1.3, real-time SIM swap alerts, and AI-driven anomaly detection."
How do I reset my account password?,"Select Forgot Password on login. Verify via OTP sent to registered mobile/email or security questions. New password must meet complexity rules."
Can I block spam calls and SMS?,"Network-level AI spam filter blocks known fraudulent sources. Enable device-level filtering in the app for custom blacklists."
What happens during network maintenance?,"Scheduled maintenance (2-4 hours monthly, typically 2-5 AM) may cause brief service degradation. Critical services remain prioritized. Customers receive 48-hour pre-notice."
How do I request a coverage check?,"Submit your postcode and device details in the Coverage Map tool. Field teams analyze signal quality and respond within 72 hours."
How do I move my service to a new device?,"Insert the SIM or scan eSIM QR on the new device and restart. The network detects the change and reprofiles capabilities automatically."
Can I change my mobile number?,"Yes. Request via Profile section with identity verification. The new number updates across all systems within 4 hours."
How can I block international calls?,"Toggle the permission in Call Settings. Options include full block, whitelist exceptions, or time-based limits."
What prepaid plans are available?,"Prepaid Basic (Rs 199/28 days, 1.5GB/day), Prepaid Standard (Rs 349/28 days, 2GB/day with 5G), Prepaid Premium (Rs 599/56 days, 3GB/day with roaming)."
What postpaid plans are available?,"Postpaid Lite (Rs 399/month, 40GB), Postpaid Standard (Rs 599/month, 75GB with roaming), Postpaid Premium (Rs 999/month, 150GB with priority support)."
What family plans are available?,"Family Pack 4 (Rs 1199/month, 200GB shared pool, up to 4 members, includes 5G and roaming for all lines)."
What data-only plans are available?,"Data Only 30GB (Rs 299/month) and Data Only 100GB (Rs 599/month). Both include 5G access and hotspot capability."
What enterprise plans are available?,"Enterprise Basic (Rs 499/line, 100GB, min 5 lines) and Enterprise Pro (Rs 899/line, 250GB, static IP, priority support, min 10 lines)."
What roaming packs are available for Asia?,"APAC Roaming (Rs 499/7 days): 2GB data, 60 voice minutes, 50 SMS. Covers Singapore, Thailand, Malaysia, Indonesia, Japan, South Korea, Australia."
What roaming packs are available for Europe?,"Europe Roaming (Rs 799/7 days): 3GB data, 90 voice minutes, 50 SMS. Covers UK, Germany, France, Italy, Spain, Netherlands, Switzerland."
What roaming packs are available for USA?,"USA Roaming (Rs 899/7 days): 5GB data, 120 voice minutes, 100 SMS. Covers USA and Canada."
What roaming packs are available for Middle East?,"Middle East Roaming (Rs 599/7 days): 2GB data, 60 voice minutes, 50 SMS. Covers UAE, Saudi Arabia, Qatar, Bahrain, Oman, Kuwait."
What data addons are available?,"1GB Addon (Rs 49/7 days), 5GB Addon (Rs 149/14 days), Unlimited Night Data (Rs 79/28 days, 12AM-6AM only)."
What is the international calling pack?,"ISD Pack (Rs 199/28 days): 100 minutes to USA, UK, Canada, UAE, Singapore."
How do I check plan eligibility for 5G?,"5G is included in Prepaid Standard and above, all Postpaid plans, Family Pack, and Enterprise plans. Check your plan details in the app."
What is the fair usage policy?,"After exceeding your plan's data limit, speeds reduce to 64kbps for prepaid and 128kbps for postpaid until renewal or addon purchase."
How do I get a refund?,"Refunds are processed for billing errors, duplicate payments, or service failures. Submit request via Support with transaction details. Processing takes 7-14 business days."
Can I transfer balance to another number?,"Balance transfer is available for prepaid accounts. Dial *123*recipient_number*amount# and confirm with PIN. Transfer fee of Rs 2 applies."
How do I activate DND (Do Not Disturb)?,"Activate DND by sending START DND to 1909 or through the app settings. Takes 24 hours to activate. Blocks promotional calls and SMS."
How do I deactivate DND?,"Send STOP DND to 1909 or disable through app settings. Takes 24 hours to deactivate."
What is the validity extension policy?,"Prepaid validity extends automatically with any recharge. Minimum recharge of Rs 10 extends validity by 28 days without adding benefits."
How do I get emergency services?,"Emergency calls (100, 101, 102, 108, 112) work even without balance or active plan. Location is shared automatically with emergency services."
Is there a loyalty program?,"Yes. Earn points on recharges and bill payments. Redeem for data addons, plan upgrades, or partner vouchers. Points expire after 12 months."
How do I check loyalty points?,"View points balance in the Rewards section of the app. Shows earned, redeemed, and expiring points with transaction history."
What is the referral program?,"Refer friends and earn Rs 50 credit when they activate. Referred user gets Rs 25 credit on first recharge. No limit on referrals."
How do I update my email address?,"Go to Profile > Contact Details > Edit Email. Verify new email via OTP. Updates reflect across all communications within 24 hours."
How do I download my KYC documents?,"Access Profile > Documents to view and download submitted KYC documents. Available for 7 years as per regulatory requirements."
What is the minimum recharge amount?,"Minimum recharge is Rs 10 for validity extension. Minimum plan recharge varies by plan type, starting at Rs 199 for prepaid."
How do I check network status in my area?,"Use the Network Status tool in the app. Shows real-time tower status, maintenance schedules, and estimated restoration times for outages."
Can I schedule a recharge?,"Yes. Set up scheduled recharges in the app for automatic renewal before plan expiry. Supports all payment methods."
What is the grace period for postpaid?,"Postpaid accounts have a 15-day grace period after due date. Services continue but late fees apply. Suspension occurs after grace period."
How do I get a duplicate bill?,"Request duplicate bills via Support or download from Billing History. Physical copies mailed within 7 working days for Rs 50 fee."
Is there a senior citizen discount?,"Senior citizens (60+) get 10% discount on postpaid plans. Submit age proof via Profile to activate. Discount applies from next billing cycle."
What is the student discount?,"Students with valid ID get 15% off on select prepaid plans. Verify student status annually through the app."
How do I report fraud or unauthorized usage?,"Call the 24/7 fraud helpline or report via app immediately. Account is secured within 2 hours. Investigation completes within 48 hours."
What is the SIM lock policy?,"SIMs are network-locked for 90 days on subsidized device purchases. Unlock available after completing payment obligations."
How do I get international SMS pack?,"International SMS Pack (Rs 149/28 days): 100 SMS to any country. Activate via app or dial *456#."
What is the voicemail service?,"Voicemail stores up to 20 messages for 7 days. Access by dialing 555 or through the app. Free for postpaid, Rs 30/month for prepaid."
How do I activate caller tune?,"Browse and set caller tunes via the app or dial *789#. Subscription Rs 49/month. First month free for new activations."
What is the data rollover policy?,"Unused data rolls over to next cycle for postpaid plans only. Maximum rollover is 200GB. Rolled data expires if plan is downgraded."
How do I get itemized roaming charges?,"Roaming charges appear separately in your bill under International Usage section. Real-time tracking available in the app while roaming."
What is the network coverage guarantee?,"If coverage is below 95% in your registered area for 7+ days, eligible for bill credit. Report via app with location data."
How do I set up call forwarding?,"Dial *21*forward_number# to activate. Dial ##21# to deactivate. Forwarded calls charged at standard rates."
What is the call waiting feature?,"Call waiting is free and enabled by default. Dial *43# to activate, #43# to deactivate, *#43# to check status."
How do I block a specific number?,"Add numbers to block list in app settings. Blocked callers hear busy tone. Limit of 100 blocked numbers."
What is the missed call alert service?,"Free service that sends SMS for calls missed when phone was off or unreachable. Activate via app or dial *engagement code#."
How do I get conference calling?,"Conference calling supports up to 5 participants. Initiate second call, then merge. Standard call rates apply to each leg."
What is the data gifting feature?,"Gift data to any number on the same network. Minimum 500MB, maximum 5GB per transaction. Dial *data*recipient*amount#."
How do I check my call history?,"View 90 days of call history in the app. Download detailed records from Billing section for longer periods."
What is the balance transfer limit?,"Maximum Rs 50 per transfer, Rs 200 per day, Rs 1000 per month. Both sender and receiver must be prepaid."
How do I activate international calling?,"International calling is enabled by default for postpaid. Prepaid users must activate via app or dial *111# with minimum Rs 100 balance."
What are the customer service hours?,"24/7 support via app chat and helpline. Store visits available 10 AM - 8 PM. Priority support for enterprise customers."
How do I escalate a complaint?,"If unresolved within 7 days, escalate via app to senior management. Appellate authority contact available on website for regulatory escalations."
What is the service level agreement?,"99.5% network uptime guaranteed. Compensation of 1 day free service for each 4 hours of unplanned outage exceeding SLA."
How do I check if my number is ported successfully?,"Check porting status in the app under Profile > Port Status. You'll receive SMS confirmation when porting completes. During transition, both old and new carriers may show active briefly."
What is the maximum data speed on 4G?,"4G LTE offers speeds up to 150 Mbps download and 50 Mbps upload in optimal conditions. Actual speeds depend on network congestion, device capability, and signal strength."
What is the maximum data speed on 5G?,"5G offers speeds up to 1 Gbps download in sub-6GHz bands and up to 4 Gbps in mmWave coverage areas. Requires 5G-enabled device and compatible plan."
How do I check my current data speed?,"Use the Speed Test feature in the app or dial *121# for network diagnostics. Tests measure download, upload, and latency against nearby servers."
Can I use my SIM in a tablet?,"Yes. Insert SIM in any unlocked tablet with cellular capability. Data-only plans recommended for tablets. Voice calls require VoLTE-compatible tablets."
How do I activate visual voicemail?,"Enable Visual Voicemail in phone settings under Phone > Voicemail. Requires compatible device and active voice plan. Messages appear as list for easy playback."
What is the call recording policy?,"Call recording is user's responsibility. Network does not record calls. Some jurisdictions require consent from all parties. Check local laws before recording."
How do I get a premium number?,"Premium numbers (fancy/VIP numbers) available for additional fee. Browse available numbers in app under Profile > Change Number > Premium. Prices vary by pattern."
What is the international SMS rate?,"Standard international SMS costs Rs 5 per message. ISD Pack includes 100 SMS to select countries. Rates vary by destination country."
How do I check international call rates?,"View ISD rates in app under Tariff > International. Rates vary by country and time of day. Some countries have peak/off-peak pricing."
Can I use WiFi calling abroad?,"Yes. WiFi calling works internationally when connected to WiFi. Calls route through home network, charged as local calls. Requires WiFi Calling enabled before travel."
What is the data carry forward limit?,"Postpaid plans allow up to 200GB data rollover. Carried data expires after one billing cycle. No rollover on prepaid plans."
How do I check carried forward data?,"View rollover data in app under Usage > Data Balance. Shows current plan data and rolled over data separately with expiry dates."
What happens to unused voice minutes?,"Voice minutes do not roll over. Unused minutes expire at plan renewal. Consider lower plan if consistently unused."
How do I get call details for a specific date?,"Access Call History in app, use date filter to select specific date range. Download detailed CDR from Billing section for records older than 90 days."
What is the maximum validity for prepaid?,"Maximum prepaid validity is 365 days with annual recharge plans. Minimum recharge every 90 days required to keep number active."
How do I reactivate an expired prepaid number?,"Numbers remain reserved for 90 days after expiry. Visit store with ID proof to reactivate. After 90 days, number returns to pool and cannot be recovered."
Can I have multiple numbers on one device?,"Dual SIM devices support two active numbers. eSIM + physical SIM combination also works. Each number requires separate plan and billing."
How do I set a default SIM for calls?,"Configure in device Settings > SIM Manager > Default for calls. Can also set per-contact preferences for dual SIM devices."
What is the tethering/hotspot policy?,"Hotspot included in all plans at no extra cost. Data used counts against plan quota. Some plans may have separate hotspot data limits."
How do I check hotspot data usage?,"Hotspot usage shows separately in app under Usage > Hotspot. Total counts against plan data. Set hotspot-specific alerts in Usage Controls."
Can I use VPN on mobile data?,"Yes. VPN works on mobile data without restrictions. May slightly reduce speeds due to encryption overhead. No additional charges for VPN usage."
What is zero-rating and is it available?,"Zero-rating (free data for specific apps) not currently offered. All data usage counts equally against plan quota regardless of app or service."
How do I report poor call quality?,"Report via app under Support > Network Issue > Call Quality. Include location, time, and call details. Network team analyzes within 48 hours."
What is VoWiFi and how is it different from VoLTE?,"VoWiFi (Voice over WiFi) routes calls through WiFi when cellular is weak. VoLTE uses LTE network. Both provide HD voice. VoWiFi useful indoors with poor signal."
How do I check network type currently connected?,"Check status bar icon: 5G/LTE/4G/3G/E/G indicates network type. Detailed info in Settings > About Phone > SIM Status > Network Type."
What is carrier aggregation?,"Carrier aggregation combines multiple frequency bands for faster speeds. Automatic when device and network support it. Check device specs for CA capability."
How do I force 4G or 5G only mode?,"Settings > Mobile Network > Preferred Network Type. Options vary by device. Forcing specific mode may reduce coverage in some areas."
What is the fair usage policy for unlimited plans?,"Unlimited plans have 40GB/day fair usage limit. After limit, speeds reduce to 1 Mbps until midnight. Resets daily at 12:00 AM."
How do I check fair usage status?,"View FUP status in app under Usage. Shows daily consumption and remaining high-speed quota. Alert sent at 80% and 100% of daily limit."
Can I opt out of promotional messages?,"Activate DND for promotional messages. Service messages (bills, alerts) still delivered. Full opt-out not available for transactional SMS."
How do I update nominee details?,"Update nominee in app under Profile > Nominee Details. Required for postpaid accounts. Nominee can claim refunds in case of account holder demise."
What documents needed for corporate connection?,"Corporate connections require: Company registration certificate, GST certificate, authorized signatory ID, board resolution for bulk connections, address proof."
How do I add lines to corporate account?,"Admin portal allows adding lines up to approved limit. Additional lines beyond limit require fresh documentation. Bulk activation available for 10+ lines."
What is the corporate billing cycle?,"Corporate accounts billed monthly on fixed date (1st or 15th). Consolidated invoice for all lines. Payment due within 15 days of invoice."
How do I get corporate usage reports?,"Download from corporate admin portal. Reports include per-line usage, department-wise breakdown, roaming details, and cost center allocation."
Can corporate accounts have mixed plans?,"Yes. Different lines can have different plans based on employee role. Admin assigns plans from approved list. Changes effective next billing cycle."
What is device management for enterprise?,"Enterprise Pro includes MDM integration. Remotely configure APN, restrict apps, enforce security policies. Requires compatible MDM solution."
How do I request bulk SIM dispatch?,"Corporate accounts request bulk SIMs via relationship manager or admin portal. Minimum order 25 SIMs. Delivery within 5 working days."
What is the enterprise SLA?,"Enterprise accounts have 99.9% uptime SLA. Dedicated support line with 4-hour response time. Compensation for SLA breaches per contract terms."
How do I migrate personal to corporate account?,"Submit request through corporate admin with employee verification. Number transfers within 7 days. Personal balance forfeited, corporate billing starts immediately."
Can I keep my number when leaving company?,"Request number release from corporate admin. Transfer to personal account within 30 days of exit. May require NOC from employer."
What is the IoT/M2M plan?,"IoT plans for machine-to-machine communication. Data-only, no voice. Plans from 10MB to 10GB monthly. Bulk pricing for 100+ connections."
How do I activate IoT SIM?,"IoT SIMs activated via API or bulk portal. No KYC required for device SIMs. Linked to corporate account for billing."
What is the API for usage monitoring?,"REST API available for enterprise accounts. Endpoints for usage, billing, line management. API documentation in developer portal. Rate limits apply."
How do I get API credentials?,"Request API access via corporate admin portal. Credentials issued within 48 hours. Sandbox environment available for testing."
What is number masking for business?,"Mask agent numbers during customer calls. Virtual number displayed instead. Call recordings linked to masked sessions. Available for enterprise accounts."
How do I set up IVR for business?,"IVR setup through enterprise portal. Upload audio prompts, configure menu options, set routing rules. Charges based on concurrent call capacity."
What is the toll-free number service?,"Toll-free numbers (1800) available for business. Caller pays nothing, business pays per-minute rate. Setup fee plus monthly rental applies."
Can I get a vanity toll-free number?,"Vanity toll-free numbers (easy to remember patterns) available at premium. Check availability in enterprise portal. One-time premium plus standard charges."
What happens if I exceed my data limit?,"Speed reduces to 64kbps for prepaid or 128kbps for postpaid. Purchase data addon or wait for plan renewal to restore full speed. No extra charges for overage."
How do I check remaining validity?,"Check in app under Plan Details or dial *123#. Shows plan name, remaining days, data balance, and renewal date."
Can I downgrade my plan?,"Yes. Downgrade effective from next billing cycle. No refund for current cycle. Some promotional plans cannot be downgraded."
What is the minimum contract period?,"Prepaid has no contract. Postpaid minimum 1 month. Enterprise contracts typically 12-24 months with early termination fees."
How do I cancel my connection?,"Submit cancellation request in app or visit store with ID. Postpaid requires clearing outstanding dues. Number deactivates within 24 hours."
Is there a cancellation fee?,"No fee for prepaid. Postpaid has no fee after first month. Enterprise accounts have contract-specific termination clauses."
How do I recharge for someone else?,"Enter recipient's number in recharge section. Payment from your account, benefits to their number. Works for any number on the network."
What is auto-renewal?,"Prepaid plans auto-renew if sufficient balance exists. Disable in app under Plan Settings. Postpaid always auto-renews with invoice."
How do I stop auto-renewal?,"Disable in app under Plan > Auto-renewal toggle. Plan expires at end of validity without renewal. Reactivate anytime."
Can I pause auto-renewal temporarily?,"Yes. Set pause duration in app. Auto-renewal resumes after pause period. Number remains active during pause if validity exists."
What payment methods are accepted?,"UPI, credit/debit cards, net banking, wallets (Paytm, PhonePe, Amazon Pay), and cash at retail stores."
Is there a convenience fee for payments?,"No fee for UPI and net banking. Cards may have 1-2% fee depending on bank. Wallets have no fee."
How do I get payment receipt?,"Receipts auto-sent to registered email. Download from app under Payments > History. GST invoice available for business accounts."
What is the GST on telecom services?,"18% GST applies to all telecom services. Included in displayed prices. GST invoice available for input credit claims."
How do I update GST details for business?,"Add GSTIN in Profile > Business Details. GST invoice generated automatically. Changes reflect from next billing cycle."
Can I get consolidated invoice for multiple numbers?,"Yes for corporate accounts. Family plans get single invoice. Individual postpaid numbers have separate invoices."
What is balance transfer?,"Transfer talk-time balance to another prepaid number. Dial *balance*recipient*amount#. Rs 2 fee per transfer. Daily limit Rs 200."
How do I check balance transfer history?,"View in app under Payments > Transfers. Shows sent and received transfers with timestamps and transaction IDs."
Can I reverse a balance transfer?,"No. Transfers are instant and irreversible. Verify recipient number before confirming. Contact support for disputes."
What is the validity of transferred balance?,"Transferred balance inherits recipient's current validity. No separate validity for transferred amount."
How do I activate night data pack?,"Purchase Night Data addon from app. Active 12AM-6AM daily. Unlimited data during night hours. Regular data used outside window."
What is weekend data pack?,"Unlimited data on Saturday and Sunday. Purchase from addons section. Valid for 4 weekends from activation."
Are there any student-only plans?,"Student plans offer 15% discount on select prepaid packs. Verify with valid student ID annually. Available for ages 16-25."
What is the senior citizen benefit?,"10% discount on postpaid plans for 60+ age. Submit age proof once. Discount applies automatically to all future bills."
Is there military/veteran discount?,"15% discount for active military and veterans. Submit service ID for verification. Applies to postpaid plans only."
What is the government employee plan?,"Special corporate rates for government employees. Enroll through department HR. Requires official email verification."
How do I gift a recharge?,"Select Gift Recharge in app. Choose plan and recipient number. Pay and plan activates on recipient's number immediately."
Can I schedule a gift recharge?,"Yes. Set future date for gift activation. Payment charged immediately. Gift delivered on scheduled date with custom message."
What is the referral bonus?,"Refer friends, earn Rs 50 when they activate. Referred user gets Rs 25. No limit on referrals. Bonus credited within 48 hours."
How do I track my referrals?,"View in app under Rewards > Referrals. Shows pending, successful, and credited referrals with amounts."
What is the loyalty program?,"Earn 1 point per Rs 10 spent. Redeem for data, plans, or partner vouchers. Points expire after 12 months of inactivity."
How do I redeem loyalty points?,"Go to Rewards > Redeem. Browse catalog and select reward. Points deducted instantly. Digital rewards delivered immediately."
Can I transfer loyalty points?,"No. Points are non-transferable and linked to your account. Use before account closure or they're forfeited."
What is priority customer service?,"Postpaid Premium and Enterprise get priority queue. Average wait under 2 minutes. Dedicated relationship manager for enterprise."
How do I reach customer service?,"App chat 24/7, helpline 198 (toll-free), email support@telecom.com, or visit nearest store. Response within 4 hours for tickets."
What languages does support offer?,"Support available in English, Hindi, and 10 regional languages. Select preferred language in app settings."
How do I file a complaint?,"Submit via app Support section. Include issue details and screenshots. Ticket number provided for tracking. Resolution within 7 days."
What if complaint is not resolved?,"Escalate via app after 7 days. Senior management review within 48 hours. Appellate authority contact available for regulatory escalation."
How do I check complaint status?,"Track in app under Support > My Tickets. Shows status, updates, and expected resolution time."
What is the network coverage area?,"Coverage spans all major cities and 95% of highways. Rural coverage expanding. Check coverage map in app for specific locations."
How do I report coverage gaps?,"Report via app with location pin. Field team surveys within 7 days. Coverage improvement prioritized based on demand."
What is indoor coverage solution?,"Femtocell devices available for poor indoor coverage. One-time purchase Rs 2999. Connects to broadband for enhanced indoor signal."
How do I get femtocell device?,"Order from app or store. Requires active postpaid connection and broadband. Installation guide included. Support available for setup."
What is the network maintenance schedule?,"Maintenance typically 2-5 AM on weekdays. Advance notice via SMS for planned outages. Emergency maintenance notified immediately."
How do I check for outages in my area?,"Network Status in app shows real-time outages. Enter location for specific status. Estimated restoration time displayed."
What is the compensation for outages?,"Credit of 1 day service for every 4 hours of unplanned outage. Auto-credited to next bill. No claim needed."
How do I backup my contacts to cloud?,"Enable Contact Backup in app settings. Syncs automatically. Restore to new device by logging into same account."
Is cloud backup free?,"Basic backup (contacts, SMS) free. Media backup requires premium subscription Rs 49/month for 50GB cloud storage."
How do I transfer data to new phone?,"Use Transfer Wizard in app. Works between any smartphones. Transfers contacts, photos, apps, and settings wirelessly."
What is eSIM activation process?,"Request eSIM in app. Complete verification. Receive QR code via email. Scan with new device. Physical SIM deactivates automatically."
Can I have both eSIM and physical SIM active?,"Not for same number. One number = one active SIM (physical or eSIM). Dual SIM phones can have different numbers on each."
How do I switch back from eSIM to physical SIM?,"Request physical SIM in app. Collect from store with ID. eSIM deactivates when physical SIM activates."
What devices support eSIM?,"iPhone XS and later, Google Pixel 3 and later, Samsung Galaxy S20 and later, and select other flagships. Check device specs."
What is the international roaming activation time?,"Instant for postpaid with roaming pack. Prepaid requires 24-hour advance activation. Enable roaming in device settings."
Which countries have roaming partnerships?,"200+ countries covered. Full list in app under Roaming > Countries. Rates vary by country and pack purchased."
What if I don't buy roaming pack?,"Pay-per-use rates apply. Significantly higher than pack rates. Data Rs 10/MB, calls Rs 50/min. Buy pack to save."
How do I check roaming usage in real-time?,"Usage alerts sent via SMS while roaming. Check app when on WiFi. Detailed breakdown in billing section."
Can I set roaming spend limit?,"Yes. Set limit in app under Roaming > Spend Control. Service pauses when limit reached. Increase limit anytime."
What is WiFi calling roaming behavior?,"WiFi calls while abroad charged as local calls to India. Uses WiFi, not roaming data. Best option for international calls."
How do I enable airplane mode with WiFi?,"Enable airplane mode, then turn on WiFi separately. Allows WiFi calling without cellular charges while abroad."
What is the data roaming warning?,"Alert at 50MB and 100MB usage while roaming. Disable data roaming in settings to avoid accidental usage."
How do I block data roaming?,"Settings > Mobile Network > Data Roaming > Off. Prevents all mobile data abroad. WiFi still works."
Can I use my plan data while roaming?,"No. Domestic data doesn't work abroad. Must purchase roaming pack or pay per-use rates."
What is the call forwarding charge while roaming?,"Forwarded calls charged international rate to forwarding destination plus roaming incoming rate. Can be expensive."
How do I avoid bill shock while roaming?,"Buy roaming pack before travel. Set spend limits. Use WiFi calling. Disable data roaming. Monitor usage via SMS alerts."
What is the emergency number while abroad?,"112 works globally for emergencies. Local emergency numbers also work. Calls free even without balance or roaming pack."
How do I get local number while traveling?,"Purchase travel SIM from destination country. Or use eSIM travel plans from third-party providers. Keep home SIM for verification SMS."
What is dual SIM standby mode?,"Both SIMs active for calls/SMS but only one for data at a time. Switch data SIM in settings. No calls missed on either number."
How do I set call forwarding between my two numbers?,"Forward calls from secondary to primary when busy/unreachable. Dial *21*primary_number# from secondary SIM."
What is the USSD code for balance check?,"Dial *123# for prepaid balance. Shows talk-time, data, SMS balance, and validity. Free service."
What is the USSD code for data balance?,"Dial *121# for detailed data balance. Shows main pack data, bonus data, and night data separately."
What is the USSD code for last 5 transactions?,"Dial *124# for recent transaction history. Shows recharges, deductions, and balance transfers."
How do I check my own number via USSD?,"Dial *1# to receive SMS with your own number. Useful when you forget your number."
What is the USSD code for customer care?,"Dial 198 for toll-free customer care. Or dial *199# for callback request. Available 24/7."
How do I activate DND via USSD?,"Send START DND to 1909. Or dial 1909 and follow IVR prompts. Activation within 24 hours."
What is the USSD code for plan details?,"Dial *125# for current plan details. Shows plan name, benefits, validity, and renewal date."
How do I check offer eligibility via USSD?,"Dial *126# for personalized offers. Shows available upgrades and special packs based on usage pattern."
